Time,AFeedStream1,DFeedStream2,EFeedStream3,TotalFeedStream4,RecycleFlowStream8,ReactorFeedRateStream6,ReactorPressurekPagauge,ReactorLevel,ReactorTemperatureDegC,PurgeRateStream9,ProductSepTempDegC,ProductSepLevel,ProdSepPressurekPagauge,ProdSepUnderflowStream10,StripperLevel,StripperPressurekPagauge,StripperUnderflowStream11,StripperTemperatureDegC,StripperSteamFlowkgperhr,CompressorWorkkW,ReactorCoolingWaterOutletTempDegC,SeparatorCoolingWaterOutletTempDegC,ComponentA6,ComponentB6,ComponentC6,ComponentD6,ComponentE6,ComponentF6,ComponentA9,ComponentB9,ComponentC9,ComponentD9,ComponentE9,ComponentF9,ComponentG9,ComponentH9,ComponentD11,ComponentE11,ComponentF11,ComponentG11,ComponentH11,DFeedFlowStream2,EFeedFlowStream3,AFeedFlowStream1,TotalFeedFlowStream4,CompressorRecycleValve,PurgeValveStream9,SeparatorPotLiquidFlowStream10,StripperLiquidProductFlowStream11,StripperSteamValve,ReactorCoolingWaterFlow,CondenserCoolingWaterFlow,Quality,Predicted_Quality,Anomaly_score%,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,top_feature_6,top_feature_7
01-02-2004 03:41,0.25754,3702.7,4523.9,9.4886,26.754,42.642,2705.8,75.024,120.42,0.34946,80.167,49.606,2634.9,26.629,49.665,3102.4,23.299,66.297,242.36,343.62,94.331,76.935,32.7,8.9513,26.408,6.5934,18.69,1.6026,33.343,13.937,23.571,1.236,18.233,2.2719,4.8552,2.3343,0.025807,0.82961,0.091988,53.901,44.555,63.331,53.804,24.955,59.769,22.274,40.952,36.94,45.759,50.427,41.187,17.239,1,1,3.1581334156515704,ComponentD6,ComponentF6,ReactorCoolingWaterOutletTempDegC,ComponentA6,TotalFeedStream4,ComponentH11,ProdSepUnderflowStream10
01-11-2004 18:28,0.21163,3683.0,4465.2,9.329,26.711,42.205,2710.3,76.349,120.39,0.32042,79.897,48.959,2639.9,25.172,50.768,3103.8,23.595,65.536,230.27,343.73,94.616,77.324,32.442,8.7373,26.224,6.8693,18.521,1.6206,33.269,13.876,24.052,1.0794,18.262,2.3061,4.8185,2.3427,0.01096,0.83123,0.094945,53.194,44.283,63.525,54.218,21.019,60.705,23.005,39.055,35.036,48.312,46.642,41.74,16.571,0,0,3.0258444321530544,ReactorLevel,ComponentD9,ComponentF9,ComponentB6, , , 
01-08-2004 09:25,0.24113,3674.5,4482.7,9.2789,26.951,42.095,2704.8,75.532,120.42,0.33001,80.362,48.843,2633.9,24.944,51.203,3102.1,23.243,65.82,228.09,341.76,94.542,77.427,32.376,9.0092,26.595,6.9411,18.596,1.6891,33.358,13.983,23.376,1.2819,18.456,2.2811,4.8639,2.2731,0.025279,0.84206,0.10375,52.898,44.379,63.038,53.824,23.358,61.811,22.045,39.431,34.694,49.318,46.47,45.441,17.323,0,0,7.291890004476567,ReactorCoolingWaterFlow,ComponentG11,ComponentC9,ComponentB9, , , 
01-10-2004 13:43,0.27055,3666.0,4515.7,9.5363,26.56,42.625,2716.9,74.511,120.4,0.32945,79.986,48.076,2646.7,24.041,48.363,3113.3,23.143,65.7,229.93,343.15,94.424,77.177,32.021,8.7974,26.232,6.4997,18.609,1.6368,32.588,13.845,24.116,1.0767,18.797,2.2756,4.7651,2.1905,0.01807,0.83032,0.089301,53.443,44.135,62.599,54.552,26.49,76.36,22.638,38.349,32.439,42.746,47.137,41.261,17.601,0,0,10.531617555545704,TotalFeedFlowStream4,ComponentD6,TotalFeedStream4,ComponentH9,ProductSepLevel,SeparatorPotLiquidFlowStream10,ComponentD9
01-05-2004 05:35,0.25174,3672.5,4432.7,9.2535,26.866,42.469,2698.4,74.137,120.38,0.33142,79.974,48.451,2626.2,25.441,49.879,3097.5,24.018,65.341,221.07,338.42,94.678,76.693,31.352,9.0272,26.409,6.8208,18.849,1.6357,32.669,13.74,24.086,1.1711,19.107,2.2761,4.81,2.2663,0.023827,0.85267,0.077679,53.673,43.293,62.87,53.37,24.82,61.78,21.28,39.938,33.541,46.255,45.057,39.799,15.684,1,1,3.3204663328255593,ComponentA6,ReactorCoolingWaterFlow,SeparatorCoolingWaterOutletTempDegC,ComponentF11,EFeedStream3,StripperUnderflowStream11,CondenserCoolingWaterFlow
1/18/2004 21:46,0.29039,3641.3,4514.0,9.2733,26.642,42.664,2699.3,74.811,120.4,0.34629,79.861,49.951,2574.2,26.394,48.042,3096.3,22.845,66.14,243.84,321.01,94.615,76.913,32.159,8.8822,26.083,6.8109,18.627,1.6259,33.07,13.923,23.923,1.4032,18.892,2.3046,4.977,2.4284,0.013361,0.82554,0.09982,53.286,43.567,62.288,54.028,28.629,60.699,13.877,42.267,37.955,42.003,50.747,40.804,18.637,0,0,12.317782803888084,CompressorRecycleValve,CompressorWorkkW,ProdSepPressurekPagauge,ComponentH9,ComponentG9,StripperLevel,StripperLiquidProductFlowStream11
1/13/2004 14:55,0.096184,3702.2,4790.4,9.0188,26.89,41.98,2802.1,78.037,120.42,0.29519,77.954,50.925,2735.5,24.573,49.236,3179.9,22.505,66.996,297.53,353.04,93.958,77.19,33.009,8.8883,28.373,6.8835,17.093,1.5506,34.579,13.593,27.324,1.1156,15.83,2.1434,4.1499,1.9027,0.011891,0.63373,0.092743,52.633,44.577,64.81,56.945,9.5146,61.933,28.086,33.42,40.823,44.767,62.739,41.812,18.927,0,0,11.027735650317256,ReactorPressurekPagauge,ProdSepPressurekPagauge,StripperPressurekPagauge,ComponentE11,ComponentG9,CompressorRecycleValve,ProductSepTempDegC
1/16/2004 5:44,0.19474,3764.2,4512.4,9.4389,26.49,42.009,2706.7,75.376,120.39,0.34665,79.932,50.115,2636.5,24.569,48.936,3102.6,23.2,65.318,217.24,342.65,94.575,77.267,32.792,8.832,26.642,6.9393,18.577,1.713,33.206,13.749,24.234,1.3337,18.608,2.2545,4.8238,2.3205,0.030873,0.77285,0.1032,52.977,43.402,63.78,54.681,19.233,59.091,22.456,40.103,38.437,44.072,52.282,41.775,17.475,0,0,3.6116947666183927,ComponentE11,DFeedStream2,ComponentF6,ComponentA6,RecycleFlowStream8,AFeedStream1,TotalFeedFlowStream4
1/15/2004 1:02,0.25029,3675.5,4477.0,9.3806,26.871,42.308,2707.1,74.724,120.33,0.35562,79.697,50.381,2635.7,23.783,50.465,3099.5,22.7,65.907,237.64,345.2,96.389,76.984,32.933,8.8349,26.716,6.9417,18.893,1.6688,33.21,13.71,23.964,1.0512,17.99,2.2718,4.8038,2.2552,0.013224,0.82682,0.092795,53.111,44.4,63.856,54.666,24.597,60.058,23.219,41.003,39.222,47.611,48.803,39.127,18.692,0,0,11.33518259408894,ReactorCoolingWaterOutletTempDegC,ReactorTemperatureDegC,ReactorCoolingWaterFlow,ComponentA6,ComponentD9,CompressorWorkkW,CompressorRecycleValve
01-10-2004 19:52,0.051952,3700.1,4405.2,9.5758,27.356,42.515,2614.4,72.636,120.43,0.36339,81.883,52.432,2542.6,26.647,48.667,3008.6,22.399,67.989,256.94,342.96,94.785,77.709,33.941,8.8305,23.379,7.1917,19.209,1.7507,35.502,13.91,19.831,1.459,19.577,2.3883,5.3137,2.5337,0.023057,0.83896,0.11839,53.778,44.5,63.269,52.776,5.1212,63.673,21.058,43.226,45.257,43.45,57.086,41.038,19.317,0,0,12.413469465094545,StripperPressurekPagauge,ReactorPressurekPagauge,ProdSepPressurekPagauge,ComponentC9,ComponentC6,ComponentA9,ProductSepTempDegC
